Sendungstitel,Datum,url
Luzern Stadt – Tag 3 – Tribschen-Langensand,2021-07-14T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/e059b335-dfd7-43b1-bbe8-40d9dba64285
Liechtenstein – Tag 5 – Triesenberg,2021-04-30T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/38b70012-7bdd-4c69-b5a8-0e5c8a147cf5
Schaffhausen – Tag 3 –Thayngen,2020-09-23T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/649df160-ad87-4d9c-9375-fae7a189b649
Luzern Stadt – Tag 3 – Tribschen-Langensand,2020-05-27T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/e416da75-87ef-444d-b47b-929ddc51011e
Kanton Graubünden – Tag 2 – Bonadz,2020-03-31T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/7acf15ad-d6eb-4012-a4b4-7ba90cd8cb97
Kanton Graubünden – Tag 1 – Tinizog,2020-03-30T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/fe94ba4e-3564-4b14-ab72-64d8174c5352
Kanton Glarus – Tag 4 – Enneda,2019-05-30T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/82d8e17d-f671-4156-8af3-287c3288eecc
Kanton Tessin – Tag 3 – Valle Osernone,2019-04-25T16:15:00Z,https://www.srf.ch/play/tv/redirect/detail/2703c138-9ec5-41c3-8c14-a9fdbb850e55
Stadt Basel – Tag 2 – Matthäusquartier,2019-03-05T17:15:00Z,https://www.srf.ch/play/tv/redirect/detail/c2377e49-fc99-4b95-971f-a0484a538367
Stadt Luzern – Tag 5 – Baselstrasse-Bernstrasse,2019-01-25T17:15:00Z,https://www.srf.ch/play/tv/redirect/detail/1cf3abb6-bbf2-4523-9550-67d668283423
